No,EMAIL,TELEPON,KODE KLINIK,NAMA KLINIK,JENIS KLINIK,JENIS PELAYANAN,TANGGAL REGISTRASI,ALAMAT,CAMAT,KAB/KOTA,PROPINSI,PEMILIK,NAMA PEMILIK,PENYELENGGARA,PELAKU USAHA,KERJASAMA BPJS,BERJEJARING PUSKESMAS,PROGRAM PRIORITAS,NAMA PUSKESMAS,KODE BPJS,AKREDITASI
130,sebyclinicsemarang@gmail.com,81325086431,33740300130,Seby Clinic dr. Undang Dermatology & Aesthetics,Utama,Non Rawat Inap,12/2/2021,"JL. TAMAN GEDUNG BATU NO. 26 RT 04 RW 05 NGEMPLAK SIMONGAN, SEMARANG BARAT, SEMARANG 50148",SEMARANG BARAT,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT. MEDIA CAHAYA MANDIRI,Kementerian/Lembaga,Badan Usaha,Tidak,Ya,,NGEMPLAK SIMONGAN,,Belum
131,pratamapegadaian@gmail.com,81327570079,33740300131,Klinik Pratama Pegadaian Permata,Pratama,Non Rawat Inap,12/14/2021,"Jl. Ki Mangunsarkoro No. 7, Karangkidul, Semarang tengah, Semarang, Jawa Tengah",SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,YAYASAN KESEJAHTERAAN PEGADAIAN PERMATA,Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,MIROTO,,Belum
132,klinikpratama.uin@walisongo.ac.id,82299745864,33740300132,KLINIK PRATAMA UIN WALISONGO SEMARANG,Pratama,Non Rawat Inap,1/5/2022,Jl. Walisongo No. 3-5 Semarang,NGALIYAN,Kota Semarang,Jawa Tengah,Kementerian/Lembaga,UIN Walisongo Semarang,Kementerian/Lembaga,Badan Hukum Publik,Ya,Ya,,TAMBAK AJI,1101u175,Sudah
133,klinikkusmiceria@gmail.com,08122877800__,33740300133,KLINIK KUSMI CERIA,Pratama,Non Rawat Inap,1/5/2022,Jl. Ligu Tengah 1089 Semarang,SEMARANG TIMUR,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. Tirta Rukma Cahaya Ceria,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,HALMAHERA,0173B094,Sudah
134,klinik1sehat@gmail.com,81326307823,33740300134,Klinik Satu Sehat,Pratama,Non Rawat Inap,1/6/2022,"Jalan S. Parman No. 1A, Kelurahan Bendungan, Kecamatan Gajahmungkur, Kota Semarang",GAJAHMUNGKUR,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT Anugrah Satu Hati,Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,PEGANDAN,,Belum
135,klinikqu.tusam@gmail.com,81315494449,33740300135,KLINIK PRATAMA SEHATQU,Pratama,Non Rawat Inap,1/20/2022,"Jln. Tusam Timur Raya No.35, Pedalangan, Banyumanik, Semarang, Jawa tengah",BANYUMANIK,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,Yayasan Sehat Paripurna Indonesia,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,,PADANGSARI,,Belum
136,klinikgunungmuriamedica@gmail.com,08563215555__,33740300136,Klinik Gunung Muria Medica,Pratama,Non Rawat Inap,1/21/2022,Jalan Woltermonginsidi No 91 B,PEDURUNGAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV GUNUNG MURIA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,TELOGOSARI WETAN,0173b029,Sudah
137,alsihadklinikpratama@gmail.com,89508039831,33740300137,KLINIK PRATAMA AL SIHAD,Pratama,Non Rawat Inap,2/10/2022,"Jl. K. ZAINUDIN RAYA RT. 09/RW.02, KEL. KARANGROTO, KEC. GENUK, KOTA SEMARANG",GENUK,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV HIBATULLAH,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,"TB,Hipertensi,Diabetes Melitus,Lainnya",BANGET AYU,,Belum
138,klinikpratama@poltekkes-smg.ac.id,82135418095,33740300138,Klinik Pratama Poltekkes Kemenkes Semarang,Pratama,Non Rawat Inap,3/6/2022,"Jl. Tirto Agung, Pedalangan, Banyumanik, Semarang",BANYUMANIK,Kota Semarang,Jawa Tengah,Kementerian/Lembaga,"Dr.Marsum,BE,S.Pd,MHP (POLTEKKES KEMENKES SEMARANG",Kementerian/Lembaga,Badan Hukum Publik,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",PADANGSARI,0173B074,Sudah
139,omsemarang.zap@gmail.com,82224106564,33740300139,ZAP Semarang Gajah Mada,Utama,Non Rawat Inap,3/7/2022,"Jl. Gajahmada no 148, brumbungan, semarang",SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,Muchammad Fadhli,Kementerian/Lembaga,Perorangan,Tidak,Tidak,,MIROTO,,Belum
140,pamularsihsuperskin@gmail.com,81238481288,33740300140,KLINIK PRATAMA SUPER SKIN,Pratama,Non Rawat Inap,3/12/2022,"Jl. Pamularsih Raya No. 84, Kelurahan Bongsari, Kecamatan Semarang Barat, Kota Semarang, Jawa Tengah, 50149",SEMARANG BARAT,Kota Semarang,Jawa Tengah,Kementerian/Lembaga,PT. FIOS ANEKA MEDIKA,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,,NGEMPLAK SIMONGAN,,Belum
141,fatmawatisuperskin58@gmail.com,81335525546,33740300141,Klinik Pratama Super Skin,Pratama,Non Rawat Inap,3/12/2022,"Jl. Fatmawati No. 90 Semarang, Kecamatan Pedurungan, Jawa Tengah",PEDURUNGAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT. Fios Aneka Medika,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,,TELOGOSARI WETAN,,Belum
142,klinikpratama.rahmatika@gmail.com,081225690954_,33740300142,Klinik Pratama Rahmatika,Pratama,Non Rawat Inap,3/15/2022,JL. Pengkol RT 05/ RW 01 Kel Mangunsari Kec Gunung Pati Semarang,GUNUNGPATI,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. RAHMATIKA HASANAH,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,,GUNUNGPATI,,Sudah
143,klinikkimiafarmacitarum@gmail.com,8114007420,33740300143,Klinik Kimia Farma Citarum,Pratama,Non Rawat Inap,3/17/2022,"Jl. Citarum No. 60, Kelurahan Mlatibaru",SEMARANG TIMUR,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT KIMIA FARMA DIAGNOSTIKA,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,KARANG DORO,0173b047,Belum
144,klinik_kfgajah@yahoo.com,81222210019,33740300144,Klinik Kimia Farma Majapahit,Pratama,Non Rawat Inap,3/31/2022,"JLN. MEDOHO RAYA 1 NO. 18, KOTA SEMARANG",GAYAMSARI,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT KIMIA FARMA APOTEK,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,GAYAM SARI,0173B033,Belum
145,delima.sehat21@gmail.com,87778934200,33740300145,Klinik Delima Sehat,Pratama,Non Rawat Inap,4/8/2022,"Jl. Fatmawati No.21A, Gemah, Pedurungan, Kota Semarang",PEDURUNGAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. Delima,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,TELOGOSARI KULON,0173B024,Sudah
146,klinikindosehat07@gmail.com,81325184246,33740300146,KLINIK INDOSEHAT PRIMA,Pratama,Non Rawat Inap,4/8/2022,JL KOL RW SUGIARTO,GUNUNGPATI,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV INDOSEHAT,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,GUNUNGPATI,0173B092,Sudah
147,titoranda@gmail.com,628121535355_,33740300147,KLINIK GIGI PRATAMA TITO DENTAL CARE,Pratama,Non Rawat Inap,4/11/2022,Jalan Majapahit 238,PEDURUNGAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,drg. Tito Randa,Masyarakat/Swasta,Perorangan,Tidak,Ya,,TELOGOSARI KULON,,Belum
148,urkes.satbrimob@gmail.com,82221876218,33740300148,klinik Pratama Satbrimobda Jateng,Pratama,Non Rawat Inap,4/11/2022,JL. JEND. POL. ANTON SUDJARWO NO. 218. KOTA SEMARANG,BANYUMANIK,Kota Semarang,Jawa Tengah,POLRI,INSTITUSI,POLRI,Badan Hukum Publik,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",SRONDOL,1730004,Sudah
149,klinikpratamalcmedika@gmail.com,81225053030,33740300149,Klinik Pratama Lestari Care Medika,Pratama,Non Rawat Inap,4/11/2022,"JL. ALAM SARI RAYA NO. 17, SENDANGMULYO, TEMBALANG, KOTA SEMARANG",TEMBALANG,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV PRATAMA LESTARI CARE MEDIKA,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,,KEDUNG MUNDU,,Belum
150,2klinikmardimulya@gmail.com,85107500790,33740300150,KLINIK 24 JAM MARDI MULYA II,Pratama,Non Rawat Inap,4/11/2022,JL WALISONGO 9 RT 3 RW 1 KEL JRAKAH KEC TUGU 50184,TUGU,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT ADYATMA NUGRAHA LESTARI,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,KARANG ANYAR,0173B039,Belum
151,3klinikmardimulya@gmail.com,247619359,33740300151,KLINIK 24 JAM MARDI MULYA III,Pratama,Non Rawat Inap,4/11/2022,JL JEND. SUDIRMAN 67 RT 01 RW 01 KEL. KROBOKAN KEC. SEMARANG BARAT 50149,SEMARANG BARAT,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT ADYATMA NUGRAHA LESTARI,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,,KROBOKAN,,Belum
152,drdaniksemarang@gmail.com,08122830165__,33740300152,KLINIK NUR AINI,Pratama,Non Rawat Inap,4/11/2022,"jl. mawar 1 No 11, Perum graha Golf, Sendangmulyo, Kec. Tembalang, Kota Semarang",TEMBALANG,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV NUR AINI,Kementerian/Lembaga,Perorangan,Ya,Ya,,KEDUNG MUNDU,0173u428,Sudah
153,samule011996@gmail.com,81359629007,33740300153,Klinik Pratama Yonarhanud 15/DBY,Pratama,Non Rawat Inap,4/11/2022,JL. KESATRIAN JATINGALEH RT 02 RW 10,CANDISARI,Kota Semarang,Jawa Tengah,TNI,Kesdam IV/Dip,TNI,Perorangan,Ya,Ya,TB,CANDILAMA,,Belum
154,5klinikmardimulya@gmail.com,2476415987,33740300154,KLINIK PRATAMA 24 JAM MARDI MULYA V,Pratama,Non Rawat Inap,4/12/2022,"JL PROF SOEHARSO RT 05 RW 20 SEMARANG KEL SENDANGMULYO, KEC TEMBALANG",TEMBALANG,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT ADYATMA NUGRAHA LESTARI,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,,KEDUNG MUNDU,,Belum
155,7klinikmardimulya@gmail.com,2476407412,33740300155,KLINIK PRATAMA MARDI MULYA VII,Pratama,Non Rawat Inap,4/12/2022,JL JATIMULYO NO 1 PEDALANGAN KEC BANYUMANIK SEMARANG 50239,BANYUMANIK,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT ADYATMA NUGRAHA LESTARI,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,,PADANGSARI,,Belum
156,6klinikmardimulya@gmail.com,247603587,33740300156,KLINIK MARDI MULYA VI,Pratama,Non Rawat Inap,4/12/2022,JL ABDULRAHMAN SALEH 150 RT 01 RW 04 KEL. KALIBANTENG KIDUL KEC. SEMARANG BARAT 50183,SEMARANG BARAT,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT ADYATMA NUGRAHA LESTARI,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,LEBDOSARI,0173b026,Belum
157,tanjungemasphc@gmail.com,81225557701,33740300157,KLINIK PHC TANJUNG EMAS,Pratama,Non Rawat Inap,4/19/2022,USMAN JANATIN NO.8 SEMARANG,SEMARANG UTARA,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT PELINDO HUSADA CITRA,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,BANDARHARJO,0173b013,Belum
158,klinikestihusada11@gmail.com,(024) 76451318,33740300158,Esti Husada,Pratama,Non Rawat Inap,4/20/2022,"Jl. KH. Zaenudin Raya No. 25, Karangroto, Genuk, Semarang",GENUK,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV Esti Husada ( Esti Wijayanti),Masyarakat/Swasta,Badan Usaha,Ya,Ya,,BANGET AYU,0173b012,Sudah
159,nadira.tlogosari01@gmail.com,8.9541E+11,33740300159,Klinik Gigi Nadira Tlogosari,Utama,Non Rawat Inap,6/3/2022,"Jl. Tlogosari Raya I No 42 B, Semarang",PEDURUNGAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT NADIRA RADIFA MANDIRI (BUDI PONCO PRAKOSO),Masyarakat/Swasta,Badan Hukum,Tidak,Tidak,,TELOGOSARI KULON,,Belum
160,nuraenifarida6674@gmail.com,085876528063_,33740300160,Klinik Utama Namira,Utama,Rawat Inap,6/16/2022,Jl. Rejosari 3/1 Ngijo,GUNUNGPATI,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT. Naufatlin Namira Husada Utama,Kementerian/Lembaga,Perorangan,Tidak,Ya,,SEKARAN,,Belum
161,puslakes@mail.unnes.ac.id,6.2851E+12,33740300161,KLINIK PRATAMA UNNES,Pratama,Non Rawat Inap,6/21/2022,"Gedung Kewirausahaan UNNES Jl Taman Siswa, Sekaran, Gunungpati, Kota Semarang",GUNUNGPATI,Kota Semarang,Jawa Tengah,Kementerian/Lembaga,Universitas Negeri Semarang,Kementerian/Lembaga,Badan Hukum Publik,Ya,Ya,,SEKARAN,0173b009,Sudah
162,medikabina@gmail.com,085866846247_,33740300162,KLINIK PRATAMA BINA MEDIKA,Pratama,Non Rawat Inap,6/29/2022,Jl Gaharu Raya No.19 Rt.01 Rw.11 Srondol Wetan Banyumanik Semarang,BANYUMANIK,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV. Artha Podomoro,Kementerian/Lembaga,Perorangan,Ya,Ya,,SRONDOL,0173B065,Belum
163,rohni20.helixlab@gmail.com,08118746268__,33740300163,Kliniki Pratama Helix,Pratama,Non Rawat Inap,6/30/2022,"Jl.Jati Raya D/24 RT.006 RW.06 Kel. Srondol Wetan Kec.Banyumanik, Semarang",BANYUMANIK,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,"Rohni Cahaya Manik, S.Si, Apt",Kementerian/Lembaga,Perorangan,Tidak,Tidak,,SRONDOL,,Belum
164,narendramedika@gmail.com,85201450515,33740300164,Klinik Pratama Narendra Medika,Pratama,Non Rawat Inap,7/4/2022,Pedurungan Kidul V No.17 RT 4 RW 1,PEDURUNGAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV NARENDRA MEDIKA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",TELOGOSARI KULON,0173B097,Sudah
165,semarang2@miracle-clinic.com,6.28113E+11,33740300165,Miracle Aesthetic Clinic Setiabudi Semarang,Pratama,Non Rawat Inap,7/25/2022,"Jl. Setiabudi no 109, Srondol Kulon, Banyumanik, Semarang",BANYUMANIK,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT. Safa Aura Anisa,Masyarakat/Swasta,Badan Usaha,Tidak,Tidak,,SRONDOL,,Belum
166,klinik.wp97@gmail.com,81215392137,33740300166,KLINIK WIRA PRATAMA AKPOL,Pratama,Non Rawat Inap,7/25/2022,jl. Papandayan Raya No.36 kecamatan Gajahmungkur Kelurahan Gajahmungkur kota Semarang,GAJAHMUNGKUR,Kota Semarang,Jawa Tengah,POLRI,RUMKIT BHAYANGKARA AKPOL LEMDIKLAT POLRI KEPOLISIA,POLRI,Badan Hukum Publik,Ya,Ya,,PEGANDAN,0173B086,Sudah
167,klinikkalluna@gmail.com,81233038689,33740300167,KLINIK PRATAMA KALLUNA FAMILY HEALTH CENTER,Pratama,Non Rawat Inap,7/27/2022,"Jalan Citandui Selatan No 22, Bugangan, Semarang Timur, Semarang",SEMARANG TIMUR,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT Saras Askara Yuda Medika,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,BUGANGAN,0173B099,Belum
168,intibios.sula.semarang@gmail.com,82120006869,33740300168,KLINIK PRATAMA INTIBIOS,Pratama,Non Rawat Inap,7/28/2022,"Jl.Sultan Agung No.142, Kaliwiru, Kec. Candisari, Semarang , Jawa Tengah",CANDISARI,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT INTIBIOS MAKMUR INDONESIA SEHAT,Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,KAGOK,,Belum
169,cso.harmoni@gmail.com,08122841170__,33740300169,Klinik Pratama Harmoni Karya,Pratama,Non Rawat Inap,8/3/2022,Jl.Kedungundu Raya No.161 A Kel. Sendangguwo,TEMBALANG,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT Harmoni Karya Diagnostika,Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,KEDUNG MUNDU,,Belum
170,klinikcitasehat.smg@gmail.com,(024) 844-0505,33740300170,Klinik Cita Sehat,Pratama,Non Rawat Inap,8/4/2022,"Jl. Sompok No. 70 Lamper Lor, Semarang Selatan Kota Semarang",SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,Yayasan Cita Sehat,Kementerian/Lembaga,Badan Hukum,Ya,Ya,,LAMPER TENGAH,0173B082,Belum
171,klinikpratamarawatinap@unimus.ac.id,81390100842,33740300171,Klinik Rawat Inap Pratama Unimus,Pratama,Rawat Inap,8/11/2022,Jln. Petek Kp. Gayam RT.02 RW.06 Kel. Dadapsari Kec. Semarang Utara,SEMARANG UTARA,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,Badan Hukum Selain PT KLINIK PRATAMA UNIMUS,Kementerian/Lembaga,Perorangan,Ya,Ya,"Hipertensi,Diabetes Melitus",BANDARHARJO,,Belum
172,puspitaranid@yahoo.com,082177665548_,33740300172,Klinik PUSPITA,Pratama,Non Rawat Inap,9/21/2022,Citarum Raya 108,SEMARANG TIMUR,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV PUSPITA FARMA COSMEDIC,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,BUGANGAN,0173b062,Sudah
173,daniantit@gmail.com,08122917503__,33740300173,Klinik AULIA FAWWAS,Pratama,Non Rawat Inap,9/22/2022,Jl. Dewi Sartika 1 No. 35 a Semarang,GUNUNGPATI,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV Aulia Fawwas,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,SEKARAN,0173b049,Belum
174,bangunmedika@yahoo.co.id,88215458085,33740300174,Klinik Pratama BANGUN MEDIKA,Pratama,Non Rawat Inap,9/24/2022,Jl. Bangunharjo I nomor 12A Banyumanik Semarang 50264,BANYUMANIK,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV BANGUN MEDIKA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,SRONDOL,0173U062,Sudah
175,poliklinikpipsemarang@gmail.com,081229559643_,33740300175,Klinik Utama PIP Semarang,Utama,Non Rawat Inap,9/24/2022,"Jl. Singosari Raya no.2A, Kota Semarang",SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Kementerian/Lembaga,PIP Semarang,Kementerian/Lembaga,Perorangan,Tidak,Ya,"TB,Hipertensi,Diabetes Melitus",PANDANARAN,,Belum
176,nadira.tirtoagung@gmail.com,85640763560,33740300176,KLINIK GIGI NADIRA TIRTO AGUNG,Pratama,Non Rawat Inap,9/29/2022,"Jl. Tirto Agung Raya A3, Pedalangan, Semarang",BANYUMANIK,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,"PT NADIRA RADIFA MANDIRI (BUDI PONCO PRAKOSO, ST)",Masyarakat/Swasta,Badan Hukum,Tidak,Tidak,,SRONDOL,,Belum
177,nadira.kelud@gmail.com,81390241184,33740300177,KLINIK GIGI NADIRA KELUD,Pratama,Non Rawat Inap,9/29/2022,"Jl. Kelud Raya No. 47 A, Gajahmungkur, Semarang",GAJAHMUNGKUR,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT NADIRA RADIFA MANDIRI (BUDI PONCO PRAKOSO),Masyarakat/Swasta,Badan Hukum,Tidak,Tidak,,PEGANDAN,,Belum
178,klinikgiginadira.fatmawati@gmail.com,8.9541E+11,33740300178,Klinik Gigi Nadira Fatmawati,Utama,Non Rawat Inap,9/29/2022,"Jl. Fatmawati No. 85D, Pedurungan, Semarang",PEDURUNGAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,"PT NADIRA RADIFA MANDIRI (BUDI PONCO PRAKOSO, ST.)",Masyarakat/Swasta,Badan Hukum,Tidak,Tidak,,KEDUNG MUNDU,,Belum
179,anasihrachmawati1606@gmail.com,081390517912_,33740300179,Klinik Rahma Medika,Pratama,Non Rawat Inap,10/3/2022,"Jatisari Permai C3/3A RT2/12, Jatisari, Mijen",MIJEN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV Pradana Sejahtera,Masyarakat/Swasta,Badan Usaha,Ya,Tidak,,MIJEN,,Sudah
180,emeraldaestheticc@gmail.com,(024) 76444773,33740300180,Emerald Aesthetic Clinic,Pratama,Non Rawat Inap,10/6/2022,"Jl. MT. Haryono No. 219, Ruko Plaza Peterongan Blok D3-D5, Wonodri, Semarang",SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,Mohamad Arifin Satyagraha,Masyarakat/Swasta,Badan Usaha,Tidak,Tidak,,PANDANARAN,,Belum
181,intanarp@gmail.com,89617124744,33740300181,Klinik Pratama Denticare Dental Clinic,Pratama,Non Rawat Inap,10/6/2022,"Jl. Mulawarman Selatan Raya No. 16 B, Semarang",TEMBALANG,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,"Ir. Eko Budihartanto, Msc",Masyarakat/Swasta,Badan Usaha,Tidak,Tidak,,ROWOSARI,,Belum
182,whiteandyoungclinic.id@gmail.com,08122898630__,33740300182,White And Young Dermatology Clinic,Pratama,Non Rawat Inap,10/6/2022,Jl. TUMPANG RAYA NO.120,GAJAHMUNGKUR,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV. AWET MUDA SEPANJANG MASA,Kementerian/Lembaga,Perorangan,Tidak,Tidak,,,,Belum
183,mardjono.purbalingga@gmail.com,082199675344_,33740300183,Klinik MADANI,Pratama,Non Rawat Inap,10/7/2022,"Jl. Mr. Koesbijono Tjondrowibowo RT 02 RW 08, Patemon, Gunungpati, Semarang",GUNUNGPATI,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,dr. Ilham Ramadhan,Masyarakat/Swasta,Perorangan,Tidak,Tidak,,SEKARAN,,Belum
184,msglowclinic.semarang28@gmail.com,087820621382_,33740300184,MS Glow Aesthetic Clinic Semarang,Pratama,Non Rawat Inap,10/10/2022,JL. MAYOR JEND D.I. PANJAITAN NO. 74 BRUMBUNGAN,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV MS GLOW AESTHETIC CLINIC SEMARANG,Masyarakat/Swasta,Badan Usaha,Tidak,Tidak,,MIROTO,,Belum
185,medico.semarang@gmail.com,82115983224,33740300185,Klinik Pratama Medico,Pratama,Non Rawat Inap,10/11/2022,"Jalan Mulawarman Selatan Raya No. 16A Kelurahan Jabungan, Kecamatan Banyumanik, Kota Semarang, Provinsi Jawa Tengah - 50271",BANYUMANIK,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV Medico Inti Jaya,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,TB,PADANGSARI,,Belum
186,klinikunwahas@gmail.com,82221111902,33740300186,Klinik Pratama Unwahas,Pratama,Non Rawat Inap,10/13/2022,"Jl. Menoreh Raya no 94, Sampangan, Semarang",GAJAHMUNGKUR,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,"PROF. KH. NOOR ACHMAD, MA",Kementerian/Lembaga,Perorangan,Tidak,Tidak,,PEGANDAN,,Belum
187,sandjojosehat@gmail.com,81225450496,33740300187,Klinik Pratama Sandjojo Sehat,Pratama,Non Rawat Inap,10/26/2022,"Kampus BSB - UNIKA Soegijapranata Jl. RM. Hadi Soebeno Sosrowardojo No. 2 Kel. Pesantren Kec. Mijen BSB City, Kota Semarang",MIJEN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT Klinik Pratama Sandjojo Sehat,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,MIJEN,0173b095,Sudah
188,cavitamedika.tlogo@gmail.com,08156682222__,33740300188,Klinik Cavita Medika,Pratama,Non Rawat Inap,10/27/2022,Jl. Tlogosari Raya I No. 61 Semarang,PEDURUNGAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,drg. Ermi Nuryanti,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,"TB,Hipertensi,Diabetes Melitus",TELOGOSARI KULON,,Belum
189,cavitamedika@gmail.com,085799992623_,33740300189,Klinik Cavita Medika,Pratama,Non Rawat Inap,10/27/2022,Jl. dr. Wahidin No.181,CANDISARI,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,drg. Ermi Nuryanti,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,"TB,Hipertensi,Diabetes Melitus",KAGOK,,Belum
190,estertopher23@gmail.com,08122898630__,33740300190,White And Young Dermatology Clinic,Utama,Non Rawat Inap,10/29/2022,JL. TUMPANG RAYA NO. 120,GAJAHMUNGKUR,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV AWET MUDA SEPANJANG MASA,Masyarakat/Swasta,Badan Usaha,Tidak,Tidak,,PEGANDAN,,Belum
191,klinikpratamaraider400@gmail.com,81234664466,33740300191,Klinik Pratama Yonif Raider 400/BR,Pratama,Non Rawat Inap,10/31/2022,"JL. SETIABUDI, SRONDOL KULON, BANYUMANIK, KOTA SEMARANG, JAWA TENGAH",BANYUMANIK,Kota Semarang,Jawa Tengah,TNI,KESDAM IV/DIPONEGORO,TNI,Badan Hukum Publik,Ya,Ya,,SRONDOL,1730805,Sudah
192,danastriklinik@gmail.com,081326701527_,33740300192,Klinik Utama Danastri,Utama,Non Rawat Inap,11/23/2022,"Jalan Indraprasta No. 97, Kel. Pendrikan Lor, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah, 50183",SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,"dr. Budi Riyanto, M.Sc., Sp.PD-KPTI-Finasim",Masyarakat/Swasta,Badan Hukum,Tidak,Ya,"Hipertensi,Diabetes Melitus",PONCOL,,Belum
193,klinikpratamalpsmg@gmail.com,08122577007__,33740300193,KLINIK PRATAMA LAPAS KELAS I SEMARANG,Pratama,Non Rawat Inap,12/1/2022,"Jl. Raya Semarang-Boja KM.4, Wates, Kec. Ngaliyan, Kota Semarang, Jawa Tengah",NGALIYAN,Kota Semarang,Jawa Tengah,Kementerian/Lembaga,Lembaga Pemasyarakatan Kelas I Semarang,Kementerian/Lembaga,Badan Hukum Publik,Tidak,Ya,,NGALIYAN,,Belum
